Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-10-06,1541.993408203125,1574.6566626223348,1538.7224263190749,1568.2990444737916,4271698
2021-10-07,1558.0716552734375,1570.2339673798194,1544.8497213796973,1554.386092517025,5476108
2021-10-08,1588.3392333984375,1595.3878942943377,1564.889886583542,1571.201389977141,4738376
2021-10-11,1558.0255126953125,1594.0058634467064,1532.9176168693455,1549.779111166104,8840633
2021-10-12,1552.681396484375,1556.2287278095387,1531.3511815390486,1545.1720405782098,7439300
2021-10-13,1574.8408203125,1578.9410761019835,1547.9823734189192,1562.6323944610754,7104171
2021-10-14,1580.8759765625,1643.392308437284,1564.7055259841047,1616.1191682300016,19655776
2021-10-18,1651.2703857421875,1657.5818896196677,1603.219837653264,1603.219837653264,13438109
2021-10-19,1678.912109375,1690.2912621801504,1642.1947119746171,1671.4027525727952,10324260
2021-10-20,1660.6683349609375,1702.7298385876024,1653.0208604216416,1685.5919958239788,5876115
2021-10-21,1615.7967529296875,1671.4026567494793,1609.5312514537482,1671.4026567494793,8779629
2021-10-22,1584.607666015625,1624.5959297705288,1572.8138208460996,1612.3415017559253,7369809
2021-10-25,1573.32080078125,1593.7756301896236,1554.570409270043,1586.680966491757,5905209
2021-10-26,1583.68505859375,1604.9719210374785,1576.434587373171,1589.5878320086913,5871709
2021-10-27,1607.156494140625,1611.9902555086298,1581.3148942752448,1588.7048222747915,5090259
2021-10-28,1583.8712158203125,1603.252444594271,1572.8559948743568,1598.2328172032205,5329972
2021-10-29,1550.267578125,1591.9581570670337,1544.0395960672706,1579.3162136017838,5875091
2021-11-01,1580.292236328125,1586.938473109284,1557.9363618804307,1559.3306963331877,3636806
2021-11-02,1578.293701171875,1586.2413396389827,1567.5572802686784,1575.5979651449327,3471772
2021-11-03,1582.5697021484375,1596.4665243353438,1579.3162548899827,1588.6118184855682,3530713
2021-11-04,1588.3328857421875,1596.0482488156958,1584.8935726445902,1594.1891361205116,483407
2021-11-08,1615.104248046875,1618.3576954530126,1583.0345521863758,1608.132575033723,5245903
2021-11-09,1619.7520751953125,1626.7237484027528,1604.4143941389436,1612.5480128809575,4016134
2021-11-10,1617.5675048828125,1627.606645378434,1600.6495112328325,1604.4142598382118,4780368
2021-11-11,1611.2001953125,1617.1957888595648,1588.6119288179314,1610.874759787064,4731349
2021-11-12,1654.7962646484375,1657.259611812744,1615.6155530054455,1620.2168118157374,5069009
2021-11-15,1661.2568359375,1673.2016136518207,1650.4274805771154,1656.562530466256,4354074
2021-11-16,1666.0439453125,1681.5209682629743,1651.821687309578,1663.9059202499407,6034233
2021-11-17,1661.5355224609375,1675.0606133120805,1655.261016833936,1666.276350822774,4732492
2021-11-18,1654.052734375,1663.3947084145373,1635.0897605071605,1656.097713132674,4326924
2021-11-22,1635.4615478515625,1659.6300141776342,1627.7927075750206,1658.3286125273669,6621839
2021-11-23,1614.5465087890625,1624.1673946854542,1589.5414193230083,1612.873261906543,8436160
2021-11-24,1576.5274658203125,1617.8927206723195,1569.0910155098393,1617.4279425279149,7333061
2021-11-25,1601.0679931640625,1604.6002394611276,1577.4107143007454,1580.245906757248,4476260
2021-11-26,1572.484130859375,1597.3032417313393,1565.3730015961182,1582.6163184689426,4494181
2021-11-29,1576.85302734375,1591.400608167568,1551.5691378361273,1571.879923137475,3942776
2021-11-30,1592.0048828125,1608.039731635692,1580.2924941924177,1584.4754982332506,14808963
2021-12-01,1594.09619140625,1619.1942126058675,1592.330011664623,1594.1891243460761,5193264
2021-12-02,1625.096923828125,1627.1884256605936,1590.7962710813922,1594.1891745260887,5559574
2021-12-03,1613.2916259765625,1660.7919344557472,1610.5029568274374,1646.337287310953,6754012
2021-12-06,1575.8770751953125,1611.8043407576272,1572.3447153413713,1608.132638214941,3991449
2021-12-07,1591.0753173828125,1603.3919403224459,1574.6686233765233,1581.2684514650211,4202122
2021-12-08,1629.837646484375,1635.8333531824549,1610.549351714103,1610.9211969581388,3029169
